Empresa,Prefixo_Veiculo,Consorcio
Viação Redentor,C47654,Transcarioca
Viação Redentor,C47114,Transcarioca
Viação Redentor,C47025,Transcarioca
Viação Redentor,C47759,Transcarioca
Viação Redentor,C47281,Transcarioca
Viação Redentor,C47250,Transcarioca
Viação Redentor,C47228,Transcarioca
Viação Redentor,C47142,Transcarioca
Viação Redentor,C47754,Transcarioca
Viação Redentor,C47104,Transcarioca
Transportes Futuro,C30346,Transcarioca
Transportes Futuro,C30379,Transcarioca
Transportes Futuro,C30456,Transcarioca
Transportes Futuro,C30279,Transcarioca
Transportes Futuro,C30044,Transcarioca
Transportes Futuro,C30302,Transcarioca
Transportes Futuro,C30216,Transcarioca
Transportes Futuro,C30016,Transcarioca
Transportes Futuro,C30015,Transcarioca
Transportes Futuro,C30047,Transcarioca
Transportes Barra,C13111,Transcarioca
Transportes Barra,D13119,Santa Cruz
Transportes Barra,C13258,Transcarioca
Transportes Barra,D13308,Santa Cruz
Transportes Barra,C13013,Transcarioca
Transportes Barra,D13287,Santa Cruz
Transportes Barra,C13101,Transcarioca
Transportes Barra,D13366,Santa Cruz
Transportes Barra,C13332,Transcarioca
Transportes Barra,D13359,Santa Cruz
